lugar;longt;lat;barrio;comuna;categoria;domicilio
Subsede Comunal 6;-58.4411;-34.6322;Parque Chacabuco;7;Sedes Comunales;Emilio Mitre 954
Subsede Comunal 11;-58.4958;-34.6018;Villa del Parque;11;Sedes Comunales;Ricardo Gutiérrez 3254
Subsede Comunal 5;-58.4104;-34.638;Parque Patricios;4;Sedes Comunales;Av. Caseros 3250
Subsede Comunal 9;-58.4849;-34.6457;Parque Avellaneda;9;Sedes Comunales;Av. Directorio 4344
Parque de los Niños;-58.459;-34.5312;Nuñez;13;Parques y Plazas;Parque de los Niños
CESAC Nº 4;-58.5072;-34.6556;Mataderos;9;Hospitales y Centros de Salud;Av. J. B. Alberdi y Pilar
CESAC Nº 9;-58.3661;-34.6401;La Boca;4;Hospitales y Centros de Salud;Irala 1254
Plaza Houssay;-58.3982;-34.599;Recoleta;2;Parques y Plazas;Plaza Houssay
CESAC Nº 29;-58.4863;-34.6837;Villa Lugano;8;Hospitales y Centros de Salud;Av. Dellepiane 6999
Plaza San Martin;-58.376;-34.5952;Retiro;1;Parques y Plazas;Plaza San Martin
CESAC Nº 35;-58.3994;-34.6564;Barracas;4;Hospitales y Centros de Salud;Osvaldo Cruz y Zavaleta
Portal Inclusivo Villa 1-11-14,;-58.444;-34.6461;Flores;7;Espacios Publicos;Av. Varela y Oceanía
Portal Inclusivo Villa 20;-58.468;-34.6766;Villa Lugano;8;Espacios Publicos;Fonrouge 4251
Portal Inclusivo Villa 21-24;-58.3983;-34.6537;Barracas;4;Espacios Publicos;Osvaldo Cruz y Zavaleta
Portal Inclusivo Villa 6 – Cildañez;-58.4722;-34.6556;Parque Avellaneda;9;Espacios Publicos;Boulevard La Salle 2300
CESAC Nº 14;-58.4742;-34.6601;Parque Avellaneda;9;Hospitales y Centros de Salud;Horacio Casco 4446
CESAC Nº 18;-58.4682;-34.6738;Villa Lugano;8;Hospitales y Centros de Salud;Miralla y Batle Ordoñez
Hospital Gutierrez;-58.4107;-34.5945;Palermo;14;Hospitales y Centros de Salud;Gallo 1330
Centro Cultural Recoleta;-58.3916;-34.5865;Recoleta;2;Espacios Publicos;Junín 1930 
Patio de la Cultura;-58.3745;-34.6082;Montserrat;1;Espacios Publicos;Av. de Mayo 575
Plaza Dr Benjamin A Gould (Planetario);-58.4115;-34.5695;Palermo;14;Parques y Plazas;Plaza Dr. Benjamin A. Gould (Planetario)
Plaza Int. Torcuato de Alvear;-58.3926;-34.5862;Recoleta;2;Parques y Plazas;Plaza Int. Torcuato de Alvear
Plazoleta Juan XXIII;-58.3915;-34.5878;Recoleta;2;Parques y Plazas;Plazoleta Juan XXIII
Centro Cultural Asociación Homero Manzi;-58.4163;-34.6157;Almagro;5;Espacios Publicos;Av. Belgrano 3540
Centro Cultural Julián Centeya;-58.4113;-34.6248;San Cristobal;3;Espacios Publicos;Av. San Juan 3255
Hospital Elizalde;-58.3776;-34.6289;La Boca;4;Hospitales y Centros de Salud;Manuel A. Montes de Oca 40
Hospital Maria Ferrer;-58.3756;-34.6302;Barracas;4;Hospitales y Centros de Salud;Finochieto 849
Paseo de la Recoleta;-58.3934;-34.5892;Recoleta;2;Parques y Plazas;Vicente López 2000
Polo Circo;-58.3932;-34.6286;Parque Patricios;4;Espacios Publicos;Av. Juan de Garay 2100
Portal Inclusivo Barrio Los Piletones;-58.4563;-34.6606;Villa Soldati;8;Espacios Publicos;Av. Lacarra y Ana Maria Janner
Planetario;-58.4117;-34.5697;Palermo;14;Espacios Publicos;Av. Sarmiento y Belisario Roldán
Portal Inclusivo Barrio Ramon Carrillo;-58.4544;-34.6562;Villa Soldati;8;Espacios Publicos;Mariano Acosta y Pasaje I
Portal Inclusivo Villa 31 (Edificio Policía Metropolitana);-58.3857;-34.5776;Recoleta;2;Espacios Publicos;
Palacio de Gobierno;-58.3736;-34.6082;Montserrat;1;Espacios Publicos;Bolívar 1
Metrobus Juan B Justo;-58.4442;-34.5936;;;Metrobus;Av. Juan B. Justo y Av. Corrientes
Diagonal Norte;-58.3798;-34.6048;San Nicolas;1;Espacios Publicos;
Diagonal Norte;-58.3775;-34.606;San Nicolas;1;Espacios Publicos;
Diagonal Norte;-58.3765;-34.6063;San Nicolas;1;Espacios Publicos;
Diagonal Norte;-58.375;-34.607;San Nicolas;1;Espacios Publicos;
Diagonal Norte;-58.3738;-34.6078;San Nicolas;1;Espacios Publicos;
Est Echeverria;-58.481;-34.5778;;;Subte;
Plaza de Mayo (extensión);-58.372;-34.6084;Montserrat;1;Parques y Plazas;
Metrobus 9 de Julio;-58.3809;-34.6175;;;Metrobus;
Metrobus 9 de Julio;-58.3811;-34.6129;;;Metrobus;
Metrobus 9 de Julio;-58.3819;-34.5991;;;Metrobus;
Metrobus 9 de Julio;-58.3822;-34.5954;;;Metrobus;
Metrobus 9 de Julio;-58.3809;-34.6189;;;Metrobus;
Metrobus 9 de Julio;-58.3811;-34.6167;;;Metrobus;
Metrobus 9 de Julio;-58.3811;-34.6156;;;Metrobus;
Metrobus 9 de Julio;-58.3812;-34.6145;;;Metrobus;
Metrobus 9 de Julio;-58.3813;-34.6111;;;Metrobus;
Metrobus 9 de Julio;-58.3814;-34.6101;;;Metrobus;
Metrobus 9 de Julio;-58.3814;-34.6077;;;Metrobus;
Metrobus 9 de Julio;-58.3815;-34.6065;;;Metrobus;
Metrobus 9 de Julio;-58.3816;-34.6053;;;Metrobus;
Metrobus 9 de Julio;-58.3817;-34.6021;;;Metrobus;
Metrobus 9 de Julio;-58.3818;-34.6008;;;Metrobus;
Metrobus 9 de Julio;-58.3821;-34.5984;;;Metrobus;
Metrobus 9 de Julio;-58.3822;-34.5972;;;Metrobus;
Terminal Combis 9 de Julio;-58.3812;-34.6051;San Nicolas;1;Espacios Publicos;
Centro Cultural General San Martin;-58.3886;-34.6054;San Nicolas;1;Centro de Exposiciones y Culturales;
Est Corrientes;-58.4054;-34.6045;;;Transito;
Est Parque Patricios;-58.4061;-34.6372;;;Transito;
Est Pueyrredon;-58.4054;-34.6046;;;Transito;
